"Hank Aaron","Failure is a part of success.","Success,Failure"
"Hank Aaron","Guessing what the pitcher is going to throw is 80% of being a successful hitter. The other 20% is just execution.","Successful,Throw,Execution"
"Quinton Aaron","I do believe in sending positive messages. I am a Christian, so I do believe in a lot of positive messages.","Positive,Christian,Messages"
"Paula Abdul","Find fitness with fun dancing. It is fun and makes you forget about the dreaded exercise.","Fitness,Fun,Forget"
"Paula Abdul","Constructive criticism is about finding something good and positive to soften the blow to the real critique of what really went on.","Positive,Good,Criticism"
"Paula Abdul","I will never forget my humble beginnings as a Laker Girl. It was probably one of the most fun jobs I ever had.","Fun,Girl,Forget"
"Shawn Achor","Our daily decisions and habits have a huge impact upon both our levels of happiness and success.","Success,Happiness,Daily"
"Shawn Achor","You have to train your brain to be positive just like you work out your body.","Positive,Work,Brain"
"Shawn Achor","Positivity is such a high predicator of success rates.","Success,High,Rates"
"Hank Aaron","Failure is a part of success.","Success,Failure"
"Hank Aaron","Guessing what the pitcher is going to throw is 80% of being a successful hitter. The other 20% is just execution.","Successful,Throw,Execution"
"Kareem Abdul-Jabbar","I am highly offended by the total lack of acknowledgement of my contribution to Laker success.","Success,Lack,Total"
Aaliyah,"I don't think about my previous success. I'm happy that the work I've done has been very successful.","Success,Work,Happy"
Aaliyah,"I began to work the stage and get the audience into it. I also learned how to have fun out there. It is something I will never forget.","Work,Fun,Forget"
"M. H. Abrams","John Updike is always fun. And one of my former students, Tom Pynchon. And Harold Bloom, another former student.","Fun,Another,Student"
"Bryan Adams","There's not an instruction manual on how to deal with success, so you just have to rely on having great friends and a good team.","Success,Good,Great"
"Charles Kendall Adams","No one ever attains success by simply doing what is required of him.","Success,Simply,Required"
"Quinton Aaron","I do believe in sending positive messages. I am a Christian, so I do believe in a lot of positive messages.","Positive,Christian,Messages"
"Casey Abrams","I love making music, I love composing on my computer, just making crazy ethnic slack orchestral tracks, that's one of my fun things.","Love,Music,Crazy"
"Casey Abrams","I like kissing people because it's funny.","Funny,Kissing"
"Joey Adams","Rockefeller once explained the secret of success. 'Get up early, work late - and strike oil.'","Success,Work,Once"
"Phillip Adams","Unless you're willing to have a go, fail miserably, and have another go, success won't happen.","Success,Another,Happen"
"Freddy Adu","When I'm out there on the field, I'm in a whole different world, you know? It's like, I'm just having so much fun.","Fun,Field"
"Ken Adam","To be successful, you really have to put your ego in the background and try to be diplomatic to achieve what you want to achieve.","Successful,Ego,Achieve"
"Maude Adams","Don't be afraid of failure; be afraid of petty success.","Failure,Success,Afraid"
"Sandy Adams","I am opposed to both cloning and the destruction of human embryos and adamantly opposed to funding of embryonic stem cell research.","Both,Research,Opposed"
"Sandy Adams","The federal and state governments should ban the use of taxpayer funds to support cloning and embryonic stem cell research.","State,Support,Use"
"Sheldon Adelson","Why do I need succession planning? I'm very alert, I'm very vibrant. I have no intention to retire.","Planning,Intention,Retire"
Aesop,"The level of our success is limited only by our imagination and no act of kindness, however small, is ever wasted.","Success,Kindness,Small"
"Uzo Aduba","I try to play serious scenes a little funny and the comedy a little serious.","Funny,Serious,Comedy"
"George Ade","In the city a funeral is just an interruption of traffic; in the country it is a form of popular entertainment.","City,Popular,Traffic"
"Casey Affleck","If I can't see the humor in it, how am I going to be funny?","Funny,Humor"
Aeschylus,"Obedience is the mother of success and is wedded to safety.","Success,Obedience,Mother"
"Isabelle Adjani","I believe that when you work on yourself, you are attracted by different, more positive beings.","Positive,Work,Yourself"
Afrojack,"I'm a producer for fun. I'm not a professional schooled musician or anything.","Fun,Musician,Producer"
Afrojack,"When I was growing up, I said to my ex-girlfriend, 'I will not be successful until everyone in Holland knows my name.' And it worked.","Successful,Said,Until"
"Liam Aiken","Shortly after my dad died, my mom figured that if I could do a few commercials, I'd get a college fund.","Mom,Dad,Few"
"Joey Lauren Adams","I like decorative, functional things that I feel comfortable in.","Functional,Decorative"
"Joey Lauren Adams","The last person they expected to connect with a screenplay was the comedic, blonde actress with the funny voice.","Funny,Last,Voice"
"Clay Aiken","And I don't think that success can be measured by how many TV shows you're on.","Success,Shows,Tv"
"Clay Aiken","I auditioned just for fun.",Fun
"Steven Adler","You can have all the riches and success in the world, but if you don't have your health, you have nothing.","Success,Health,Riches"
"Chinua Achebe","A functioning, robust democracy requires a healthy educated, participatory followership, and an educated, morally grounded leadership.","Leadership,Democracy,Healthy"
"Donna Air","My daughter is the funniest person I know, and I couldn't imagine my life without her.","Life,Her,Imagine"
"Christina Aguilera","Everybody needs that one person that takes you to the right place to see all the positives in your life.","Life,Everybody,Takes"
"Christina Aguilera","When success comes, people can try to trick you or take advantage of you.","Success,Advantage,Trick"
"Christina Aguilera","I have fun being sexy and tough at the same time.","Time,Fun,Sexy"
"Malin Akerman","Who doesn't love a funny girl who can look sexy at the same time?","Love,Funny,Time"
"Jessica Alba","You have to be the best of whatever you are, but successful, cool actresses come in all shapes and sizes.","Best,Cool,Successful"
"Alvin Ailey","We still spend more time chasing funds than we do in the studio in creative work.","Time,Work,Creative"
"Alvin Ailey","In this business, life is one long fund-raising effort.","Life,Business,Effort"
"Cecelia Ahern","I always want my books to reach a positive point in the end.","Positive,End,Point"
"Cecelia Ahern","I would love to write a mystery - a romantic, funny mystery.","Love,Funny,Romantic"
"Amos Bronson Alcott","We climb to heaven most often on the ruins of our cherished plans, finding our failures were successes.","Failure,Often,Heaven"
"Art Alexakis","I like acting when I can pick my own roles, and I do. It's fun. I like being creative, and it's a creative process.","Fun,Acting,Creative"
"Jane Alexander","Most of our funding goes to organizations and is then used to leverage the private sector.","Goes,Private,Leverage"
"Gillian Alexy","It's fun doing 'McLeod's,' but at the same time the show doesn't go very deep, so there is only so far you can go with a part like that.","Time,Fun,Far"
